,Date (LST),Year,Month,Day,Hour,Value,QC Name
383,1/16/2016 23:00,2016,1,16,23,156,Valid
384,1/17/2016 0:00,2016,1,17,0,154,Valid
385,1/17/2016 1:00,2016,1,17,1,100,Valid
386,1/17/2016 2:00,2016,1,17,2,70,Valid
387,1/17/2016 3:00,2016,1,17,3,71,Valid
388,1/17/2016 4:00,2016,1,17,4,34,Valid
389,1/17/2016 5:00,2016,1,17,5,18,Valid
390,1/17/2016 6:00,2016,1,17,6,20,Valid
391,1/17/2016 7:00,2016,1,17,7,16,Valid
392,1/17/2016 8:00,2016,1,17,8,16,Valid
393,1/17/2016 9:00,2016,1,17,9,19,Valid
394,1/17/2016 10:00,2016,1,17,10,20,Valid
395,1/17/2016 11:00,2016,1,17,11,20,Valid
396,1/17/2016 12:00,2016,1,17,12,13,Valid
397,1/17/2016 13:00,2016,1,17,13,13,Valid
398,1/17/2016 14:00,2016,1,17,14,16,Valid
399,1/17/2016 15:00,2016,1,17,15,13,Valid
400,1/17/2016 16:00,2016,1,17,16,13,Valid
401,1/17/2016 17:00,2016,1,17,17,17,Valid
402,1/17/2016 18:00,2016,1,17,18,14,Valid
403,1/17/2016 19:00,2016,1,17,19,16,Valid
404,1/17/2016 20:00,2016,1,17,20,21,Valid
405,1/17/2016 21:00,2016,1,17,21,19,Valid
406,1/17/2016 22:00,2016,1,17,22,22,Valid
407,1/17/2016 23:00,2016,1,17,23,11,Valid
408,1/18/2016 0:00,2016,1,18,0,7,Valid
409,1/18/2016 1:00,2016,1,18,1,6,Valid
410,1/18/2016 2:00,2016,1,18,2,6,Valid
411,1/18/2016 3:00,2016,1,18,3,4,Valid
412,1/18/2016 4:00,2016,1,18,4,2,Valid
413,1/18/2016 5:00,2016,1,18,5,9,Valid
414,1/18/2016 6:00,2016,1,18,6,7,Valid
415,1/18/2016 7:00,2016,1,18,7,10,Valid
416,1/18/2016 8:00,2016,1,18,8,10,Valid
417,1/18/2016 9:00,2016,1,18,9,7,Valid
418,1/18/2016 10:00,2016,1,18,10,8,Valid
419,1/18/2016 11:00,2016,1,18,11,8,Valid
420,1/18/2016 12:00,2016,1,18,12,7,Valid
421,1/18/2016 13:00,2016,1,18,13,10,Valid
422,1/18/2016 14:00,2016,1,18,14,16,Valid
423,1/18/2016 15:00,2016,1,18,15,8,Valid
424,1/18/2016 16:00,2016,1,18,16,6,Valid
425,1/18/2016 17:00,2016,1,18,17,8,Valid
426,1/18/2016 18:00,2016,1,18,18,15,Valid
427,1/18/2016 19:00,2016,1,18,19,14,Valid
428,1/18/2016 20:00,2016,1,18,20,16,Valid
429,1/18/2016 21:00,2016,1,18,21,19,Valid
430,1/18/2016 22:00,2016,1,18,22,21,Valid
431,1/18/2016 23:00,2016,1,18,23,25,Valid
432,1/19/2016 0:00,2016,1,19,0,31,Valid
433,1/19/2016 1:00,2016,1,19,1,20,Valid
434,1/19/2016 2:00,2016,1,19,2,32,Valid
435,1/19/2016 3:00,2016,1,19,3,30,Valid
436,1/19/2016 4:00,2016,1,19,4,19,Valid
437,1/19/2016 5:00,2016,1,19,5,45,Valid
438,1/19/2016 6:00,2016,1,19,6,32,Valid
439,1/19/2016 7:00,2016,1,19,7,32,Valid
440,1/19/2016 8:00,2016,1,19,8,26,Valid
441,1/19/2016 9:00,2016,1,19,9,36,Valid
443,1/19/2016 11:00,2016,1,19,11,90,Valid
444,1/19/2016 12:00,2016,1,19,12,101,Valid
445,1/19/2016 13:00,2016,1,19,13,124,Valid
446,1/19/2016 14:00,2016,1,19,14,76,Valid
447,1/19/2016 15:00,2016,1,19,15,77,Valid
448,1/19/2016 16:00,2016,1,19,16,62,Valid
449,1/19/2016 17:00,2016,1,19,17,64,Valid
450,1/19/2016 18:00,2016,1,19,18,80,Valid
451,1/19/2016 19:00,2016,1,19,19,92,Valid
452,1/19/2016 20:00,2016,1,19,20,98,Valid
453,1/19/2016 21:00,2016,1,19,21,128,Valid
454,1/19/2016 22:00,2016,1,19,22,127,Valid
455,1/19/2016 23:00,2016,1,19,23,143,Valid
456,1/20/2016 0:00,2016,1,20,0,171,Valid
457,1/20/2016 1:00,2016,1,20,1,193,Valid
458,1/20/2016 2:00,2016,1,20,2,181,Valid
459,1/20/2016 3:00,2016,1,20,3,146,Valid
460,1/20/2016 4:00,2016,1,20,4,130,Valid
461,1/20/2016 5:00,2016,1,20,5,135,Valid
462,1/20/2016 6:00,2016,1,20,6,143,Valid
463,1/20/2016 7:00,2016,1,20,7,132,Valid
464,1/20/2016 8:00,2016,1,20,8,125,Valid
465,1/20/2016 9:00,2016,1,20,9,132,Valid
466,1/20/2016 10:00,2016,1,20,10,144,Valid
467,1/20/2016 11:00,2016,1,20,11,138,Valid
468,1/20/2016 12:00,2016,1,20,12,158,Valid
469,1/20/2016 13:00,2016,1,20,13,158,Valid
470,1/20/2016 14:00,2016,1,20,14,140,Valid
471,1/20/2016 15:00,2016,1,20,15,141,Valid
472,1/20/2016 16:00,2016,1,20,16,135,Valid
473,1/20/2016 17:00,2016,1,20,17,141,Valid
474,1/20/2016 18:00,2016,1,20,18,163,Valid
475,1/20/2016 19:00,2016,1,20,19,161,Valid
476,1/20/2016 20:00,2016,1,20,20,185,Valid
477,1/20/2016 21:00,2016,1,20,21,205,Valid
478,1/20/2016 22:00,2016,1,20,22,193,Valid
479,1/20/2016 23:00,2016,1,20,23,165,Valid
480,1/21/2016 0:00,2016,1,21,0,134,Valid
481,1/21/2016 1:00,2016,1,21,1,118,Valid
482,1/21/2016 2:00,2016,1,21,2,114,Valid
483,1/21/2016 3:00,2016,1,21,3,112,Valid
484,1/21/2016 4:00,2016,1,21,4,106,Valid
485,1/21/2016 5:00,2016,1,21,5,97,Valid
486,1/21/2016 6:00,2016,1,21,6,90,Valid
487,1/21/2016 7:00,2016,1,21,7,96,Valid
488,1/21/2016 8:00,2016,1,21,8,101,Valid
489,1/21/2016 9:00,2016,1,21,9,131,Valid
490,1/21/2016 10:00,2016,1,21,10,159,Valid
491,1/21/2016 11:00,2016,1,21,11,158,Valid
492,1/21/2016 12:00,2016,1,21,12,156,Valid
493,1/21/2016 13:00,2016,1,21,13,158,Valid
494,1/21/2016 14:00,2016,1,21,14,152,Valid
